Model	Accuracy	ROC AUC
Baseline	0.9858490566037735	0.9994660021359915
TATA-kmer Important Heads 5% Ablated	0.5	0.3070487718049128
TATA-kmer Important Heads 10% Ablated	0.5	0.5599857600569598
TATA-kmer Important Heads 20% Ablated	0.5	0.4101993592025632
TATA-kmer Important Heads 30% Ablated	0.5	0.4101993592025632
TATA-kmer Important Heads 40% Ablated	0.5	0.4101993592025632
TATA-kmer Important Heads 50% Ablated	0.5	0.4101993592025632
TATA-kmer Unimportant Heads 5% Ablated	0.9811320754716981	0.9977750088999644
TATA-kmer Unimportant Heads 10% Ablated	0.9150943396226415	0.9736561053755785
TATA-kmer Unimportant Heads 20% Ablated	0.9150943396226415	0.9736561053755785
TATA-kmer Unimportant Heads 30% Ablated	0.9150943396226415	0.9736561053755785
TATA-kmer Unimportant Heads 40% Ablated	0.9150943396226415	0.9736561053755785
TATA-kmer Unimportant Heads 50% Ablated	0.9150943396226415	0.9736561053755785
