Model	Accuracy	ROC AUC
Baseline	0.9858490566037735	0.9994660021359915
TATA-kmer Important Heads 5% Ablated	0.9905660377358491	0.99937700249199
TATA-kmer Important Heads 10% Ablated	0.9669811320754716	0.9905660377358492
TATA-kmer Important Heads 20% Ablated	0.5566037735849056	0.7652189391242434
TATA-kmer Important Heads 30% Ablated	0.5	0.590245639017444
TATA-kmer Important Heads 40% Ablated	0.5	0.3176397294410822
TATA-kmer Important Heads 50% Ablated	0.5	0.6611338554645781
TATA-kmer Unimportant Heads 5% Ablated	0.9858490566037735	0.9991100035599858
TATA-kmer Unimportant Heads 10% Ablated	0.9858490566037735	0.9984870060519758
TATA-kmer Unimportant Heads 20% Ablated	0.9858490566037735	0.9984870060519758
TATA-kmer Unimportant Heads 30% Ablated	0.9858490566037735	0.9984870060519758
TATA-kmer Unimportant Heads 40% Ablated	0.9858490566037735	0.9984870060519758
TATA-kmer Unimportant Heads 50% Ablated	0.9858490566037735	0.9984870060519758
