Model	Accuracy	ROC AUC
Baseline	0.9858490566037735	0.9994660021359915
TATA-kmer Important Heads 5% Ablated	0.9905660377358491	0.99937700249199
TATA-kmer Important Heads 10% Ablated	0.9716981132075472	0.9943930224279103
TATA-kmer Important Heads 20% Ablated	0.5	0.7383410466358135
TATA-kmer Important Heads 30% Ablated	0.5	0.5210929156283375
TATA-kmer Important Heads 40% Ablated	0.5	0.2657529369882521
TATA-kmer Important Heads 50% Ablated	0.5	0.6994927020291919
TATA-kmer Unimportant Heads 5% Ablated	0.9811320754716981	0.9971520113919544
TATA-kmer Unimportant Heads 10% Ablated	0.9528301886792453	0.9895870416518334
TATA-kmer Unimportant Heads 20% Ablated	0.9528301886792453	0.9895870416518334
TATA-kmer Unimportant Heads 30% Ablated	0.9528301886792453	0.9895870416518334
TATA-kmer Unimportant Heads 40% Ablated	0.9528301886792453	0.9895870416518334
TATA-kmer Unimportant Heads 50% Ablated	0.9528301886792453	0.9895870416518334
