Model	Accuracy	ROC AUC
Baseline	0.9858490566037735	0.9994660021359915
TSS Important Heads 5% Ablated	0.9339622641509434	0.9846030615877537
TSS Important Heads 10% Ablated	0.8018867924528302	0.8947134211463154
TSS Important Heads 20% Ablated	0.5	0.38314346742613026
TSS Important Heads 30% Ablated	0.5	0.31025275898896404
TSS Important Heads 40% Ablated	0.5	0.6617123531505874
TSS Important Heads 50% Ablated	0.5	0.5
TSS Unimportant Heads 5% Ablated	0.9575471698113207	0.9951940192239231
TSS Unimportant Heads 10% Ablated	0.8962264150943396	0.97187611249555
TSS Unimportant Heads 20% Ablated	0.8962264150943396	0.97187611249555
TSS Unimportant Heads 30% Ablated	0.8962264150943396	0.97187611249555
TSS Unimportant Heads 40% Ablated	0.8962264150943396	0.97187611249555
TSS Unimportant Heads 50% Ablated	0.8962264150943396	0.97187611249555
