Model	Accuracy	ROC AUC
Baseline	0.7985	0.8864814999999999
GC Important Heads 5% Ablated	0.6745	0.7910870000000001
GC Important Heads 10% Ablated	0.508	0.5281140000000001
GC Important Heads 20% Ablated	0.5	0.438131
GC Important Heads 30% Ablated	0.5	0.268121
GC Important Heads 40% Ablated	0.5	0.500084
GC Important Heads 50% Ablated	0.5	0.479901
GC Unimportant Heads 5% Ablated	0.7265	0.804163
GC Unimportant Heads 10% Ablated	0.6575	0.7910699999999999
GC Unimportant Heads 20% Ablated	0.6575	0.7910699999999999
GC Unimportant Heads 30% Ablated	0.6575	0.7910699999999999
GC Unimportant Heads 40% Ablated	0.6575	0.7910699999999999
GC Unimportant Heads 50% Ablated	0.6575	0.7910699999999999
