Model	Accuracy	ROC AUC
Baseline	0.9481132075471698	0.9833570665717337
TATA-kmer Important Heads 5% Ablated	0.8773584905660378	0.9527411890352439
TATA-kmer Important Heads 10% Ablated	0.6084905660377359	0.6887682449270203
TATA-kmer Important Heads 20% Ablated	0.5188679245283019	0.5424528301886793
TATA-kmer Important Heads 30% Ablated	0.5330188679245284	0.6134745461018157
TATA-kmer Important Heads 40% Ablated	0.5141509433962265	0.5090779636881452
TATA-kmer Important Heads 50% Ablated	0.49056603773584906	0.4907440370238519
TATA-kmer Unimportant Heads 5% Ablated	0.7877358490566038	0.9255962976148095
TATA-kmer Unimportant Heads 10% Ablated	0.8207547169811321	0.9241723033107868
TATA-kmer Unimportant Heads 20% Ablated	0.7924528301886793	0.8960484158063368
TATA-kmer Unimportant Heads 30% Ablated	0.7216981132075472	0.8100747597009612
TATA-kmer Unimportant Heads 40% Ablated	0.7216981132075472	0.8100747597009612
TATA-kmer Unimportant Heads 50% Ablated	0.7216981132075472	0.8100747597009612
