Model	Accuracy	ROC AUC
Baseline	0.9481132075471698	0.9833570665717337
TSS Important Heads 5% Ablated	0.7594339622641509	0.847187611249555
TSS Important Heads 10% Ablated	0.5849056603773585	0.6957992168031328
TSS Important Heads 20% Ablated	0.5047169811320755	0.44624421502313993
TSS Important Heads 30% Ablated	0.4858490566037736	0.48148807404770383
TSS Important Heads 40% Ablated	0.4858490566037736	0.4732111071555714
TSS Important Heads 50% Ablated	0.5	0.5380918476326093
TSS Unimportant Heads 5% Ablated	0.6886792452830188	0.955500177999288
TSS Unimportant Heads 10% Ablated	0.660377358490566	0.9639551441794233
TSS Unimportant Heads 20% Ablated	0.5707547169811321	0.9509611961552153
TSS Unimportant Heads 30% Ablated	0.5566037735849056	0.9419722321110715
TSS Unimportant Heads 40% Ablated	0.5566037735849056	0.9419722321110715
TSS Unimportant Heads 50% Ablated	0.5424528301886793	0.9409932360270559
