Model	Accuracy	ROC AUC
Baseline	0.863	0.939397
GC Important Heads 5% Ablated	0.491	0.4795130000000001
GC Important Heads 10% Ablated	0.5	0.4596675
GC Important Heads 20% Ablated	0.5045	0.508793
GC Important Heads 30% Ablated	0.508	0.5241965
GC Important Heads 40% Ablated	0.506	0.507188
GC Important Heads 50% Ablated	0.5165	0.517948
GC Unimportant Heads 5% Ablated	0.85	0.933618
GC Unimportant Heads 10% Ablated	0.8475	0.9319789999999999
GC Unimportant Heads 20% Ablated	0.8575	0.930066
GC Unimportant Heads 30% Ablated	0.8505	0.926797
GC Unimportant Heads 40% Ablated	0.854	0.9253069999999999
GC Unimportant Heads 50% Ablated	0.846	0.9230290000000001
