Model	Accuracy	ROC AUC
Baseline	0.9945	1.0
GC Important Heads 5% Ablated	0.504	0.512767
GC Important Heads 10% Ablated	0.499	0.512646
GC Important Heads 20% Ablated	0.4985	0.48901300000000003
GC Important Heads 30% Ablated	0.502	0.4954624999999999
GC Important Heads 40% Ablated	0.479	0.471564
GC Important Heads 50% Ablated	0.485	0.48997
GC Unimportant Heads 5% Ablated	0.9515	0.9925999999999999
GC Unimportant Heads 10% Ablated	0.7965	0.9450064999999999
GC Unimportant Heads 20% Ablated	0.6065	0.8764670000000001
GC Unimportant Heads 30% Ablated	0.536	0.8641920000000001
GC Unimportant Heads 40% Ablated	0.536	0.8641920000000001
GC Unimportant Heads 50% Ablated	0.536	0.8641920000000001
