Model	Accuracy	Mean AUC
Baseline	0.8196392785571143	0.9740959416174658
Important Heads 5% Ablated	0.811623246492986	0.970316669019452
Important Heads 10% Ablated	0.7915831663326653	0.9685727686811568
Important Heads 20% Ablated	0.7154308617234469	0.9494856509328232
Important Heads 30% Ablated	0.12424849699398798	0.8501377550437995
Important Heads 40% Ablated	0.06613226452905811	0.8274623457304935
Important Heads 50% Ablated	0.028056112224448898	0.7136326076336063
Unimportant Heads 5% Ablated	0.8076152304609219	0.9748194165679734
Unimportant Heads 10% Ablated	0.7875751503006012	0.972366620934414
Unimportant Heads 20% Ablated	0.779559118236473	0.9711248118298945
Unimportant Heads 30% Ablated	0.7695390781563126	0.9705835982195025
Unimportant Heads 40% Ablated	0.7695390781563126	0.9705835982195025
Unimportant Heads 50% Ablated	0.7695390781563126	0.9705835982195025
