Model	Accuracy	Mean AUC
Baseline	0.8196392785571143	0.9740959416174658
Important Heads 5% Ablated	0.8196392785571143	0.9735398476070983
Important Heads 10% Ablated	0.8056112224448898	0.9718858181475334
Important Heads 20% Ablated	0.717434869739479	0.9550047787785412
Important Heads 30% Ablated	0.2725450901803607	0.888831659506583
Important Heads 40% Ablated	0.07414829659318638	0.8235385047069194
Important Heads 50% Ablated	0.03206412825651302	0.7814951849892177
Unimportant Heads 5% Ablated	0.8036072144288577	0.973846031444314
Unimportant Heads 10% Ablated	0.7975951903807615	0.9717563487738582
Unimportant Heads 20% Ablated	0.7775551102204409	0.9714853346338469
Unimportant Heads 30% Ablated	0.781563126252505	0.972975492519011
Unimportant Heads 40% Ablated	0.781563126252505	0.972975492519011
Unimportant Heads 50% Ablated	0.781563126252505	0.972975492519011
