Model	Accuracy	Mean AUC
Baseline	0.8196392785571143	0.9740959416174658
Important Heads 5% Ablated	0.7915831663326653	0.9706117789958357
Important Heads 10% Ablated	0.7915831663326653	0.9693858813138742
Important Heads 20% Ablated	0.5110220440881763	0.9223175822950538
Important Heads 30% Ablated	0.09018036072144289	0.8434044136612713
Important Heads 40% Ablated	0.05410821643286573	0.8429741092431966
Important Heads 50% Ablated	0.026052104208416832	0.786199866090392
Unimportant Heads 5% Ablated	0.8056112224448898	0.9733898273274016
Unimportant Heads 10% Ablated	0.7955911823647295	0.9724651719537365
Unimportant Heads 20% Ablated	0.779559118236473	0.9710363325545905
Unimportant Heads 30% Ablated	0.7835671342685371	0.9723221522175054
Unimportant Heads 40% Ablated	0.7855711422845691	0.9730555081368129
Unimportant Heads 50% Ablated	0.7855711422845691	0.9730555081368129
