Model	Accuracy	Mean AUC
Baseline	0.8196392785571143	0.9740959416174658
Important Heads 5% Ablated	0.8076152304609219	0.9757344550671551
Important Heads 10% Ablated	0.7955911823647295	0.9763972301453041
Important Heads 20% Ablated	0.7094188376753507	0.9654905658185807
Important Heads 30% Ablated	0.5210420841683366	0.9396949018284947
Important Heads 40% Ablated	0.2985971943887776	0.8640148180346428
Important Heads 50% Ablated	0.050100200400801605	0.7440567753240137
Unimportant Heads 5% Ablated	0.8216432865731463	0.9752242901896676
Unimportant Heads 10% Ablated	0.8036072144288577	0.9714352095000179
Unimportant Heads 20% Ablated	0.7655310621242485	0.9588017397968854
Unimportant Heads 30% Ablated	0.7054108216432866	0.9452233795705846
Unimportant Heads 40% Ablated	0.6693386773547094	0.9323274129564176
Unimportant Heads 50% Ablated	0.6693386773547094	0.9323274129564176
