Model	Accuracy	Mean AUC
Baseline	0.01603206412825651	0.4933554515600151
Important Heads 5% Ablated	0.02004008016032064	0.4957134825297432
Important Heads 10% Ablated	0.026052104208416832	0.5024795563338839
Important Heads 20% Ablated	0.014028056112224449	0.5030094024734222
Important Heads 30% Ablated	0.01002004008016032	0.5061684237062171
Important Heads 40% Ablated	0.11222444889779559	0.5042805504330826
Important Heads 50% Ablated	0.022044088176352707	0.48128892192260325
Unimportant Heads 5% Ablated	0.018036072144288578	0.4994579900610354
Unimportant Heads 10% Ablated	0.018036072144288578	0.5020912739920758
Unimportant Heads 20% Ablated	0.018036072144288578	0.5017051200838696
Unimportant Heads 30% Ablated	0.026052104208416832	0.50138143593921
Unimportant Heads 40% Ablated	0.026052104208416832	0.5037539179388458
Unimportant Heads 50% Ablated	0.026052104208416832	0.5037539179388458
