Model	Accuracy	Mean AUC
Baseline	0.9418837675350702	0.9797038081015801
Important Heads 5% Ablated	0.9438877755511023	0.985891448845965
Important Heads 10% Ablated	0.9258517034068137	0.9866214550066693
Important Heads 20% Ablated	0.8537074148296593	0.9770245442081631
Important Heads 30% Ablated	0.5551102204408818	0.9468913557663097
Important Heads 40% Ablated	0.4228456913827655	0.9270775291872201
Important Heads 50% Ablated	0.052104208416833664	0.8649073523130458
Unimportant Heads 5% Ablated	0.9438877755511023	0.983268723763798
Unimportant Heads 10% Ablated	0.9438877755511023	0.9844919774874429
Unimportant Heads 20% Ablated	0.9458917835671342	0.9853157829922655
Unimportant Heads 30% Ablated	0.9458917835671342	0.9851691063511291
Unimportant Heads 40% Ablated	0.9458917835671342	0.9851691063511291
Unimportant Heads 50% Ablated	0.9478957915831663	0.9863702136643394
