Model	Accuracy	Mean AUC
Baseline	0.9418837675350702	0.9797038081015801
Important Heads 5% Ablated	0.9418837675350702	0.9821947990087084
Important Heads 10% Ablated	0.9478957915831663	0.9891838309057048
Important Heads 20% Ablated	0.9018036072144289	0.9865442385568626
Important Heads 30% Ablated	0.8336673346693386	0.9787481317475298
Important Heads 40% Ablated	0.717434869739479	0.9611964623920147
Important Heads 50% Ablated	0.5410821643286573	0.9376886869027671
Unimportant Heads 5% Ablated	0.9418837675350702	0.9856356296148688
Unimportant Heads 10% Ablated	0.9438877755511023	0.9865652772258842
Unimportant Heads 20% Ablated	0.9478957915831663	0.9878420664372211
Unimportant Heads 30% Ablated	0.9498997995991983	0.9884529587524605
Unimportant Heads 40% Ablated	0.9478957915831663	0.9883753211407295
Unimportant Heads 50% Ablated	0.9478957915831663	0.9883753211407295
