layer_head,Position,position_first_third,position_middle_third,position_last_third,ARID,ARID&Homeo domain factors,Basic helix-loop-helix factors (bHLH),Basic helix-span-helix factors (bHSH),Basic leucine zipper factors (bZIP),Basic leucine zipper factors (bZIP)&SAND domain factors,C2CH THAP-type zinc finger factors,C2H2 zinc finger factors,CRC domain,DM-type intertwined zinc finger factors,Fork head/winged helix factors,GC,GCM domain factors,Grainyhead domain factors,Heat shock factors,Heteromeric CCAAT-binding factors,High-mobility group (HMG) domain factors,Homeo domain factors,Homeo domain factors&High-mobility group (HMG) domain factors,Homeo domain factors&Paired box factors,MADS box factors,Nuclear receptors with C4 zinc fingers,Other C4 zinc finger-type factors,Other C4 zinc finger-type factors&Basic helix-loop-helix factors (bHLH),Paired box factors,Rel homology region (RHR) factors,Runt domain factors,SAND domain factors,SMAD/NF-1 DNA-binding domain factors,STAT domain factors,T-Box factors,TATA-binding proteins,TEA domain factors,TSS,Tryptophan cluster factors,p53 domain factors,phyloP,repeat_DNA,repeat_LINE,repeat_LTR,repeat_SINE,repeat_Simple_repeat
layer0-head0,2,5,-10,5,0,0,0,0,0,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer0-head1,1,4,-10,6,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
layer0-head2,-3,9,-10,1,0,1,0,0,0,-1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0
layer0-head3,2,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer0-head4,4,-4,10,-6,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0
layer0-head5,3,0,-10,9,0,0,0,0,0,0,0,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,1
layer0-head6,7,-7,1,6,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
layer0-head7,5,-8,7,1,0,0,0,0,0,0,0,0,0,0,-1,10,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0
layer0-head8,7,-8,3,5,-1,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,-1,0,0,0
layer0-head9,0,4,-10,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
layer0-head10,6,-8,10,-2,0,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,0
layer0-head11,4,-4,-1,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
layer1-head0,9,-10,4,6,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0
layer1-head1,8,-5,-5,10,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,-1,-3,0
layer1-head2,6,-3,-2,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0
layer1-head3,-2,8,-10,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0
layer1-head4,6,2,-10,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,0
layer1-head5,9,-8,-2,10,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
layer1-head6,7,-2,-8,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-2,0
layer1-head7,10,-5,-5,10,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,-2,0
layer1-head8,-10,8,1,-9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
layer1-head9,9,-5,-5,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,0
layer1-head10,10,0,0,0,0,0,0,0,3,0,0,0,0,4,0,-4,0,0,0,0,0,4,-5,0,0,0,0,0,-5,0,0,5,0,0,0,0,0,-4,0,0,0,0,0,0,-6,0
