,Position,phyloP,TSS,GC,C2H2 zinc finger factors,Nuclear receptors with C4 zinc fingers,Fork head/winged helix factors,T-Box factors,Basic helix-loop-helix factors (bHLH),Homeo domain factors,Basic helix-span-helix factors (bHSH),Runt domain factors,Tryptophan cluster factors,High-mobility group (HMG) domain factors,Homeo domain factors&Paired box factors,Paired box factors,Basic leucine zipper factors (bZIP)&SAND domain factors,Rel homology region (RHR) factors,Rel homology region (RHR) factors&C2H2 zinc finger factors,Tryptophan cluster factors&Homeo domain factors,Other C4 zinc finger-type factors,T-Box factors&Homeo domain factors,C2CH THAP-type zinc finger factors,Basic leucine zipper factors (bZIP),DM-type intertwined zinc finger factors,STAT domain factors,CRC domain,TATA-binding proteins,Tryptophan cluster factors&Basic helix-loop-helix factors (bHLH),ARID,SMAD/NF-1 DNA-binding domain factors,SAND domain factors,Heat shock factors,MADS box factors,Grainyhead domain factors,Other C4 zinc finger-type factors&Basic helix-loop-helix factors (bHLH),Heteromeric CCAAT-binding factors,Tryptophan cluster factors&Fork head/winged helix factors,TEA domain factors,p53 domain factors,GCM domain factors,ARID&Homeo domain factors,Homeo domain factors&High-mobility group (HMG) domain factors,label,mse,r2
layer0-head0,2.6549102961107724e-05,6.023231143667387e-05,0.0031276899535411344,-0.008420858427738091,0.0001597345180346883,2.7537729752006738e-05,-1.208664688059575e-05,-1.3737633555673435e-05,9.268033450752817e-06,-1.1579351443710607e-05,-5.477187493570844e-05,-0.0004285560627566366,-3.9650926187142044e-05,-5.7434549428630047e-05,-3.6697764568631474e-05,-0.000648898512860962,0.00017198697227310694,-0.00028366997346572595,-2.3852447794681098e-18,-3.577867169202165e-18,-6.279365218531729e-05,2.6020852139652106e-18,-0.0004196610184846278,-5.0766612597540804e-05,0.0005066313974466056,0.00011196835009392441,-0.0007019427000328468,-0.00031874773826730523,-4.336808689942018e-19,-9.100212127090568e-05,-0.00013154977501645375,0.0007443058966566516,-0.0004431171425680925,-0.0001835678012979703,-0.0008789127333437907,0.00012132344560109963,-0.000830052583227915,1.0842021724855044e-19,-0.00032905244717044665,-0.0004778515896925285,-0.00011369756195380412,0.0010358598186054001,-0.0006372305852486912,0.00028508232696303567,0.0012657717019080742,0.004168560974638691
layer0-head1,9.542628180008426e-06,2.039939102468343e-05,-0.00016173806546015737,-0.00559126230866006,5.073247459217725e-05,1.180591871441689e-05,2.065322688763814e-06,-2.2192148609353935e-05,1.5905396067834186e-06,4.198294987161266e-06,3.2251213806877524e-05,0.00024378808543530978,3.3561608288168137e-06,-2.953560808310891e-05,-0.00018220461692301527,-0.00012473339687849152,-0.00027053214421502537,-0.00015685247527390063,-1.951563910473908e-18,-1.0299920638612292e-18,2.8315618449287186e-05,6.505213034913027e-19,-0.0006451282257531749,-1.1516846471079168e-05,0.0002272836257883953,2.0016998032317234e-05,0.00014925702219230618,0.0002764072782691169,-2.168404344971009e-19,-0.000176237558205078,1.762962879216681e-05,0.0006981862337626815,0.0003507513954206736,-4.5877122062102174e-05,0.00015840672615038132,-0.0001501414777046596,-0.000300170681510854,1.0842021724855044e-19,3.235296572983632e-05,-0.0007028828396838858,-0.0001236877276854968,-0.0001356763816816181,-0.0004072000610067406,0.0005763422160624831,0.00041974154221459647,0.0032445968895323807
layer0-head2,-4.890350564779477e-07,-0.00013649685945745806,0.0012426791788939027,0.009828762398095681,-8.530239575910064e-06,6.13523975677632e-05,5.545226479464912e-06,5.948655004180829e-06,5.068980535990107e-06,-4.01303577927661e-06,-1.7810184444877266e-05,-6.90929123394246e-05,-4.314249034820773e-06,-5.140779249889508e-05,0.000216026005969551,-0.00035010197155671736,-0.00018701936276451333,-9.443857000531225e-06,1.951563910473908e-18,1.951563910473908e-18,7.977203196780652e-05,0.0,-0.00015813867206882564,-4.306993816144828e-05,-0.0002879780394621637,-2.8348508011559333e-05,-0.00014827916329654197,-0.00013327648052441026,0.0,3.2709527248262175e-05,-1.728498543242598e-05,-9.439256798578096e-06,1.8474094770242648e-05,-8.074463063839209e-05,-0.0001069586544576793,0.00034407512625124237,0.0003449314215077911,5.421010862427522e-20,-0.00018119784828724716,0.00024021033425667895,0.0002963491034036824,0.0004315155503230618,-0.00041790391418293987,0.000663617010780283,0.0002667360401676919,0.014915993539659333
layer0-head3,2.335600009129753e-05,-2.133796086292666e-05,0.00022679938724533296,0.04202517116629908,1.4985069819423492e-05,4.855497493746252e-05,9.062473133806751e-06,1.4991213257157085e-05,-2.761837468970879e-06,-1.7004925014284848e-06,-2.2820124005132953e-05,-0.00019682805900570887,2.4314666253984476e-05,-3.6265897388265435e-05,0.0003453253229560247,-0.00033284721716813606,0.00040363098414493973,2.0260230152357906e-06,1.3877787807814457e-17,9.540979117872439e-18,-8.493220981671654e-05,0.0,-3.298234975605495e-05,-1.529460420849859e-05,-0.000730719983098065,8.177131454044777e-05,-7.452320219355722e-05,0.00023573218196337503,0.0,-0.0004485805042624649,-2.325997501830594e-05,0.0001923850079720712,-0.0002499225264382077,0.00015807215526193532,-0.0002252842075344445,-0.00017307509755972944,-0.00034392727136431183,2.168404344971009e-19,-7.2382517157962e-05,-0.0007544489657888799,0.00044533220734707234,-0.00023990495457282477,-8.67314168066107e-05,0.0015969163524105921,0.0011902075036381806,0.0557327257245277
layer0-head4,6.0939373951169896e-05,0.00028767917822118856,0.00021131548047305886,0.002486276855137709,5.448655454336067e-05,-0.00016197691202959977,-3.059491452268343e-05,-0.00023802552911940768,-3.120485168171683e-05,8.26325360564403e-06,-0.0001774445474377202,0.00017521978168130077,5.8493069542923385e-05,6.185151832860922e-05,-0.0012144215785858828,0.0004215002205049193,-0.0017098649453319028,5.5185132744329236e-05,1.0842021724855044e-18,3.7947076036992655e-19,0.00014504438564140495,6.505213034913027e-19,-0.00022547406566363073,0.00010666942364100249,-2.821606070386933e-05,-1.978733308770396e-05,-1.0585433888643907e-05,-0.0005993864305585984,-3.7947076036992655e-19,-0.0007695172806153081,8.647662838877175e-05,0.0002102821181876852,-0.00025519157655789213,-7.057657446768818e-05,-0.0003017177143913658,0.0015447843901634415,-0.0002599151620477194,5.421010862427522e-20,-0.00014079349677425084,0.00027572528616060784,0.00047345369241976994,0.0001533293783969154,-0.0018603703284622187,-0.00039188055670625536,0.0015784078508562238,0.008896688788255558
layer0-head5,1.0263938350457648e-05,-0.00012499116736467306,9.404433944459789e-05,0.005823247239468316,-1.0262201977700211e-05,-1.2573425147835317e-05,4.264438374558303e-06,6.894371152438204e-06,-2.0270381789753052e-05,-4.0301147022931834e-06,2.5973559955255744e-05,3.492196239747929e-06,-3.196103537769885e-05,-4.0540502356116396e-05,0.0003498428547365953,-0.00023457097007188306,0.00024888334599339565,-2.4607436244450696e-05,1.951563910473908e-18,1.0842021724855044e-18,-0.00012666041525320046,-8.673617379884035e-19,-0.00014660153626216553,-1.3005555892902415e-05,0.0001011500536860638,5.780593147087164e-05,-0.00019094216607831553,0.000367584251819619,4.336808689942018e-19,-5.919396827237368e-05,-8.927728158957722e-06,-0.00019682481646178564,-6.349639685230725e-06,-1.0484310742228781e-05,-0.00031500096667216746,-0.00024443465168791,0.00019852526903918623,1.0842021724855044e-19,-0.00011919981350778374,-0.0010715349604913447,0.0002159488336370169,-8.57565618570525e-05,-0.00014499802596293509,0.000881821324751151,0.000283003321946834,0.006741278417678576
layer0-head6,3.123314448526667e-05,-0.00016920544305707764,-0.0013114198690216293,0.012721111675491531,3.2288142655645956e-05,-9.560172828149263e-05,-8.895241915067138e-06,8.785854919371141e-05,-7.668973485222985e-06,-1.595755662383265e-05,-0.00016623741443773455,5.319526159296807e-05,-1.3130463731874178e-05,-2.812489446159334e-05,0.0002241849894639823,-0.00022376722537715876,0.0004287083992368438,8.016987033026441e-05,4.336808689942018e-18,2.2768245622195593e-18,-2.4980192868970372e-05,-4.336808689942018e-18,-0.00035956479617309917,5.117454540578041e-05,-0.0003873136214099357,-7.71672098487479e-05,-0.000116979307048617,-0.00014639703464437378,4.336808689942018e-19,-8.08254589311912e-05,5.8667214727933486e-05,-0.0008884286409719717,4.8297766420436605e-05,9.261592754239292e-05,2.5801012578070854e-05,-0.0002316755249099069,0.00024376947908818283,1.0842021724855044e-19,-4.337136800001876e-05,-0.00017268792237138246,0.0002350608421923563,0.0004801580826645718,-8.984388613496127e-05,0.0007217700283671142,0.0004617479206037176,0.02154074354405644
layer0-head7,1.6779864016356054e-05,0.0001069162125066439,-0.0003312249757340967,0.00912515281629127,5.179619508480375e-05,-1.5372669203149568e-05,-5.8601588665910264e-06,6.807120016601682e-05,1.051144731532488e-05,-6.126776608236324e-06,6.548752501131725e-05,8.637447972949492e-05,-1.7923626810310902e-06,-1.5175649436492513e-05,-0.00013642247527917306,1.0192305397249199e-05,0.00021660604242589132,3.840998193051664e-05,2.710505431213761e-18,2.4936649967166602e-18,-4.671919416025127e-05,-8.673617379884035e-19,-0.00045845619210883865,4.031783406146311e-06,-0.00034342638579268374,-6.407369978660908e-05,-4.386109531327262e-05,-0.0007141590559971009,4.336808689942018e-19,0.00012246441360617874,-1.4359997012302762e-05,0.0005116680802865651,0.00011312220436201627,-0.00013187603861713245,-0.0006748655936474899,-4.7136551148951765e-05,4.310842259969041e-05,2.168404344971009e-19,0.00018494183370147083,-0.0009365986957709164,5.1630824848645196e-05,0.0002444490919215642,0.0004544228809748119,-2.9093630554438688e-05,0.000480222649593657,0.007764849523386963
layer0-head8,3.263581622002862e-05,-0.0001606316474901176,-0.0004868807888326031,0.027115770126558216,-6.186360399949968e-05,7.636724109159957e-05,-6.321649883991115e-05,0.0001503397675590663,2.0997560544381852e-06,5.36977402865974e-07,-8.865183218536902e-05,3.187171965522022e-05,8.796482443678294e-06,2.2144286830884626e-05,8.665052146448094e-05,-0.00028402756572310775,0.00023239098293400788,0.0001317325125714891,7.806255641895632e-18,7.589415207398531e-18,0.00016069140878264884,-1.734723475976807e-18,-0.00014832966703753195,5.882085365189272e-05,-0.00026899869345350263,5.052092416137719e-05,-8.368901564903586e-05,-0.0005818326493814402,8.673617379884035e-19,3.458803657808997e-05,1.0035897251816825e-05,-0.0005086381561533815,0.00027176939511194814,0.00014819053526121055,-0.0006637276780497099,-0.0008778470846759641,-0.0003371791684959486,1.0842021724855044e-19,-2.6814961375886296e-05,0.00040130749872250947,0.0002853954883354497,-0.0003421191249229054,0.0004443182900974576,0.0014029072278188572,0.001266424221384338,0.02450737941504677
layer0-head9,1.1743672743759328e-05,-1.594269593310839e-05,0.0002981048490816494,-0.00033096283985764645,2.8311721718336516e-05,-1.0449544783483015e-05,9.576508054748548e-07,2.82620007132296e-05,5.477877080816609e-06,-2.011316810355901e-06,-8.302845686660648e-05,5.245738649127373e-05,7.736509413934492e-06,-1.7336639308640797e-05,0.00045631782864467005,5.747932108993372e-05,-4.0936964334499416e-05,-1.8590279470622212e-05,-2.710505431213761e-20,1.0842021724855044e-19,-8.013017143606346e-05,5.421010862427522e-20,9.262404780111058e-05,-3.052161578643041e-05,0.0002505680098233594,-1.295678795846235e-06,1.6920756813269494e-05,-0.00013241083236692445,2.710505431213761e-19,-7.415243586881737e-06,-1.2766256970314954e-06,-0.00047491606331340235,0.00017975501717073597,0.00012911029823244567,-2.0965950338128477e-05,-0.0001316875645483716,0.0001232293193894068,0.0,7.216133259480662e-05,-0.00041713885997510784,-6.414579384345914e-05,1.4978252964797414e-06,0.0005747363569479078,0.00010402076843591639,0.0002590425388351259,0.0012755281475783642
layer0-head10,2.6402289264181414e-05,-3.3107035015689865e-05,-1.2226169958968765e-06,0.01262411202211675,-8.121772102305568e-05,4.1194390529579967e-05,-2.8746297684956294e-05,0.00010857424749130843,-1.4194454387110893e-05,-2.5223537957393288e-05,0.0004565170698276427,-0.0002619470258754057,-1.828339564304324e-06,1.9581104405190257e-05,0.0014494229526296322,0.0003237284131926651,0.0008065489613737739,-5.498083587906485e-05,3.469446951953614e-18,2.927345865710862e-18,-4.133674428801349e-05,-8.673617379884035e-19,-0.0002480079207086671,6.597829560407778e-05,-0.0018787558435896827,-0.0004161978837308135,-0.0007058991585877965,-0.00036722728049183925,8.673617379884035e-19,0.00017703540427105175,0.00020841935810997974,0.0009811262138736355,0.00020613995555402584,0.00017594150272205288,0.0009887114291818797,0.00025425939830931365,0.0009514247004693763,1.0842021724855044e-19,0.0010174109787149687,-0.0005231884672533122,-0.00028899701110586437,-0.00023235458893960042,0.0018037425786331769,-0.00041266011846134194,0.0022877693993931087,0.003342062766545806
