gene_name gene_id tx_id chr start end strand distance lonely
ELAPOR2 ENSG00000164659 ENST00000450689 chr7 86876906 87059654 - 9078133 Yes
SLC7A11 ENSG00000151012 ENST00000280612 chr4 138164097 138242349 - 9070780 Yes
SUCLG1 ENSG00000163541 ENST00000393868 chr2 84423528 84459280 - 8771528 Yes
ZNF736 ENSG00000234444 ENST00000423484 chr7 64313961 64356634 + 8205886 Yes
PELO ENSG00000152684 ENST00000274311 chr5 52787916 52804044 + 7978969 Yes
DIAPH3 ENSG00000139734 ENST00000400324 chr13 59665583 60163928 - 7012874 Yes
ROCK1 ENSG00000067900 ENST00000399799 chr18 20946906 21111813 - 6889449 Yes
GALC ENSG00000054983 ENST00000261304 chr14 87933014 87993182 - 6366273 Yes
PHF3 ENSG00000118482 ENST00000262043 chr6 63635802 63726011 + 6320997 Yes
PRRG1 ENSG00000130962 ENST00000378628 chrX 37349364 37457291 + 6251632 Yes
LMBRD1 ENSG00000168216 ENST00000649934 chr6 69674010 69797010 - 6036955 Yes
TRPS1 ENSG00000104447 ENST00000395715 chr8 115408496 115668975 - 5868785 Yes
ZEB2 ENSG00000169554 ENST00000627532 chr2 144384081 144520119 - 5862594 Yes
GBE1 ENSG00000114480 ENST00000429644 chr3 81489703 81761645 - 5811043 Yes
SPIN4 ENSG00000186767 ENST00000374884 chrX 63347228 63351332 - 5755217 Yes
CHMP2B ENSG00000083937 ENST00000263780 chr3 87227309 87255556 + 5737568 Yes
FMR1 ENSG00000102081 ENST00000370475 chrX 147911919 147951125 + 5709577 Yes
TYW1B ENSG00000277149 ENST00000620995 chr7 72574513 72828200 - 5563571 Yes
DCTD ENSG00000129187 ENST00000438320 chr4 182890091 182917386 - 5459286 Yes
UBQLN1 ENSG00000135018 ENST00000376395 chr9 83659968 83707958 - 5362843 Yes
MPDZ ENSG00000107186 ENST00000319217 chr9 13105707 13279692 - 5309206 Yes
TMX3 ENSG00000166479 ENST00000299608 chr18 68673688 68715108 - 5284498 Yes
DSG2 ENSG00000046604 ENST00000261590 chr18 31498177 31549008 + 5271732 Yes
B4GALT4 ENSG00000121578 ENST00000393765 chr3 119211742 119240878 - 5205899 Yes
FER ENSG00000151422 ENST00000281092 chr5 108747897 109196841 + 5198986 Yes
UQCRFS1 ENSG00000169021 ENST00000304863 chr19 29205320 29213151 - 5171915 Yes
OCRL ENSG00000122126 ENST00000371113 chrX 129540259 129592556 + 5163946 Yes
PIK3C3 ENSG00000078142 ENST00000262039 chr18 41955234 42087830 + 5126128 Yes
SMARCAD1 ENSG00000163104 ENST00000354268 chr4 94207865 94291292 + 5096078 Yes
MANEA ENSG00000172469 ENST00000358812 chr6 95577535 95609452 + 5063912 Yes
GYPC ENSG00000136732 ENST00000259254 chr2 126656158 126696667 + 4919030 Yes
ZWINT ENSG00000122952 ENST00000373944 chr10 56357227 56361259 - 4661741 Yes
CPNE8 ENSG00000139117 ENST00000331366 chr12 38652203 38905591 - 4624354 Yes
TTC21B ENSG00000123607 ENST00000243344 chr2 165873362 165953776 - 4549050 Yes
ZNF33B ENSG00000196693 ENST00000359467 chr10 42589109 42638570 - 4479851 Yes
TBL1XR1 ENSG00000177565 ENST00000457928 chr3 177019344 177197482 - 4268658 Yes
BARD1 ENSG00000138376 ENST00000260947 chr2 214725646 214809683 - 4247964 Yes
HACE1 ENSG00000085382 ENST00000262903 chr6 104728094 104859919 - 4219900 Yes
CCDC50 ENSG00000152492 ENST00000392455 chr3 191329394 191398659 + 4208137 Yes
SEC61G ENSG00000132432 ENST00000352861 chr7 54752253 54759211 - 4162187 Yes
SLC39A11 ENSG00000133195 ENST00000255559 chr17 72645949 73092688 - 4134169 Yes
SPIDR ENSG00000164808 ENST00000297423 chr8 47260938 47736306 + 4120414 Yes
NAF1 ENSG00000145414 ENST00000274054 chr4 163128669 163166890 - 4007060 Yes
OTULIN ENSG00000154124 ENST00000284274 chr5 14664718 14699850 + 3985434 Yes
RIOX2 ENSG00000170854 ENST00000394198 chr3 97941818 97972431 - 3878838 Yes
CBLB ENSG00000114423 ENST00000394030 chr3 105655461 105869012 - 3827470 Yes
DHX15 ENSG00000109606 ENST00000336812 chr4 24527475 24584554 - 3821159 Yes
RAP1GDS1 ENSG00000138698 ENST00000408927 chr4 98261384 98443858 + 3809527 Yes
PCMTD1 ENSG00000168300 ENST00000522514 chr8 51817583 51899036 - 3809160 Yes
TAFA2 ENSG00000198673 ENST00000416284 chr12 61708273 62192773 - 3802234 Yes
APOOL ENSG00000155008 ENST00000373173 chrX 85003877 85093315 + 3801775 Yes
SLC15A4 ENSG00000139370 ENST00000266771 chr12 128793194 128823958 - 3799549 Yes
ARGLU1 ENSG00000134884 ENST00000400198 chr13 106541673 106568137 - 3742554 Yes
SLC39A10 ENSG00000196950 ENST00000359634 chr2 195657226 195737700 + 3741667 Yes
GPD2 ENSG00000115159 ENST00000438166 chr2 156436379 156586403 + 3717643 Yes
CDK5RAP2 ENSG00000136861 ENST00000349780 chr9 120388875 120580167 - 3701570 Yes
NTS ENSG00000133636 ENST00000256010 chr12 85874295 85882992 + 3650614 Yes
ICE1 ENSG00000164151 ENST00000296564 chr5 5422677 5490220 + 3619257 Yes
RAD18 ENSG00000070950 ENST00000264926 chr3 8877075 8963472 - 3587756 Yes
ORC4 ENSG00000115947 ENST00000392857 chr2 147930396 148020737 - 3566032 Yes
COX7C ENSG00000127184 ENST00000247655 chr5 86617941 86620962 + 3540430 Yes
CBR4 ENSG00000145439 ENST00000306193 chr4 168987590 169010255 - 3536103 Yes
PRMT6 ENSG00000198890 ENST00000370078 chr1 107056674 107059294 + 3530983 Yes
CFH ENSG00000000971 ENST00000367429 chr1 196652043 196747504 + 3529771 Yes
MCPH1 ENSG00000147316 ENST00000344683 chr8 6406627 6648508 + 3471239 Yes
LRCH2 ENSG00000130224 ENST00000317135 chrX 115110616 115234096 - 3444805 Yes
NR2F2 ENSG00000185551 ENST00000394166 chr15 96330700 96340258 + 3439735 Yes
ABHD10 ENSG00000144827 ENST00000273359 chr3 111979026 111993368 + 3389305 Yes
OMA1 ENSG00000162600 ENST00000371226 chr1 58480719 58546726 - 3349025 Yes
RAB12 ENSG00000206418 ENST00000649141 chr18 8609437 8639383 + 3320418 Yes
SLF1 ENSG00000133302 ENST00000265140 chr5 94618669 94697621 + 3250038 Yes
STT3B ENSG00000163527 ENST00000295770 chr3 31532925 31637616 + 3217635 Yes
NCAM2 ENSG00000154654 ENST00000400546 chr21 20998409 21543329 + 3209435 Yes
PHIP ENSG00000146247 ENST00000275034 chr6 78934419 79078254 - 3185218 Yes
FPGT ENSG00000254685 ENST00000370898 chr1 74198242 74208702 + 3134947 Yes
FAF1 ENSG00000185104 ENST00000396153 chr1 50437028 50960267 - 3103238 Yes
PUDP ENSG00000130021 ENST00000381077 chrX 7048920 7148153 - 3063525 Yes
DCUN1D4 ENSG00000109184 ENST00000334635 chr4 51843153 51916837 + 3037788 Yes
PEX2 ENSG00000164751 ENST00000357039 chr8 76980258 77000078 - 3007821 Yes
FEZ2 ENSG00000171055 ENST00000405912 chr2 36552258 36598168 - 2999061 Yes
CELF2 ENSG00000048740 ENST00000633077 chr10 11017872 11336675 + 2979900 Yes
FARSB ENSG00000116120 ENST00000281828 chr2 222566899 222656092 - 2969042 Yes
NCOA2 ENSG00000140396 ENST00000452400 chr8 70109782 70403808 - 2936271 Yes
RAB28 ENSG00000157869 ENST00000330852 chr4 13367724 13484340 - 2921474 Yes
MAPRE2 ENSG00000166974 ENST00000300249 chr18 35041413 35143470 + 2885054 Yes
ATP11C ENSG00000101974 ENST00000682941 chrX 139726348 139933053 - 2878342 Yes
MLLT10 ENSG00000078403 ENST00000307729 chr10 21534232 21743630 + 2865215 Yes
HUS1 ENSG00000136273 ENST00000258774 chr7 47963288 47979615 - 2863188 Yes
EFHC2 ENSG00000183690 ENST00000420999 chrX 44147872 44343672 - 2814524 Yes
PLEKHA5 ENSG00000052126 ENST00000429027 chr12 19129733 19376400 + 2782527 Yes
RALGPS2 ENSG00000116191 ENST00000367635 chr1 178725244 178921840 + 2780334 Yes
HERC2 ENSG00000128731 ENST00000261609 chr15 28111040 28322179 - 2777312 Yes
VTA1 ENSG00000009844 ENST00000367630 chr6 142147263 142224685 + 2775355 Yes
COMMD8 ENSG00000169019 ENST00000381571 chr4 47450787 47463702 - 2768587 Yes
PPP1R12A ENSG00000058272 ENST00000450142 chr12 79773568 79935097 - 2752315 Yes
DTWD2 ENSG00000169570 ENST00000510708 chr5 118836074 118988547 - 2751058 Yes
DUT ENSG00000128951 ENST00000331200 chr15 48331429 48343373 + 2743797 Yes
CHD9 ENSG00000177200 ENST00000447540 chr16 53054991 53327497 + 2741504 Yes
RRP15 ENSG00000067533 ENST00000366932 chr1 218285293 218337983 + 2717989 Yes
ATXN7L3B ENSG00000253719 ENST00000519948 chr12 74537835 74545430 + 2698128 Yes
TUSC3 ENSG00000104723 ENST00000503731 chr8 15540263 15766638 + 2695309 Yes
KHDC1 ENSG00000135314 ENST00000257765 chr6 73241314 73263196 - 2674397 Yes
CD2AP ENSG00000198087 ENST00000359314 chr6 47477789 47627263 + 2668472 Yes
RYBP ENSG00000163602 ENST00000477973 chr3 72371825 72446621 - 2632369 Yes
